,season,player,league,position,age
0,2014-2015,Steven Gerrard,9,Midfielder,34.6
1,2014-2015,Raheem Sterling,7,Midfielder,20.1
2,2014-2015,Jordan Henderson,6,Midfielder,24.6
3,2014-2015,Philippe Coutinho,5,Midfielder,22.6
4,2014-2015,Adam Lallana,5,Midfielder,26.7
5,2014-2015,Daniel Sturridge,4,Striker,25.4
6,2014-2015,Lazar Markovic,2,Midfielder,20.8
7,2014-2015,Rickie Lambert,2,Striker,32.9
8,2014-2015,Alberto Moreno,2,Defender,22.5
9,2014-2015,Mario Balotelli,1,Striker,24.4
10,2014-2015,Emre Can,1,Midfielder,21.0
11,2014-2015,Glen Johnson,1,Defender,30.4
12,2014-2015,Martin Skrtel,1,Defender,30.1
13,2014-2015,Fabio Borini,1,Striker,23.8
14,2014-2015,Joe Allen,1,Midfielder,24.8
15,2013-2014,Luis Suarez,31,Striker,27.0
16,2013-2014,Daniel Sturridge,21,Striker,24.4
17,2013-2014,Steven Gerrard,13,Midfielder,33.6
18,2013-2014,Raheem Sterling,9,Midfielder,19.1
19,2013-2014,Martin Skrtel,7,Defender,29.1
20,2013-2014,Philippe Coutinho,5,Midfielder,21.6
21,2013-2014,Jordan Henderson,4,Midfielder,23.6
22,2013-2014,Daniel Agger,2,Defender,29.1
23,2013-2014,Victor Moses,1,Midfielder,23.1
24,2013-2014,Joe Allen,1,Midfielder,23.8
25,2013-2014,Jon Flanagan,1,Defender,21.0
26,2013-2014,Mamadou Sakho,1,Defender,23.9
27,2012-2013,Luis Suarez,23,Striker,26.0
28,2012-2013,Daniel Sturridge,10,Striker,23.4
29,2012-2013,Steven Gerrard,9,Midfielder,32.6
30,2012-2013,Jordan Henderson,5,Midfielder,22.6
31,2012-2013,Stewart Downing,3,Midfielder,28.5
32,2012-2013,Daniel Agger,3,Defender,28.1
33,2012-2013,Philippe Coutinho,3,Midfielder,20.6
34,2012-2013,Raheem Sterling,2,Midfielder,18.1
35,2012-2013,Martin Skrtel,2,Defender,28.1
36,2012-2013,Jose Enrique,2,Defender,27.0
37,2012-2013,Jonjo Shelvey,1,Midfielder,20.9
38,2012-2013,Nuri Sahin,1,Midfielder,24.3
39,2012-2013,Fabio Borini,1,Striker,21.8
40,2012-2013,Joe Cole,1,Midfielder,31.2
41,2012-2013,Glen Johnson,1,Defender,28.4
42,2011-2012,Luis Suarez,11,Striker,25.0
43,2011-2012,Craig Bellamy,6,Striker,32.5
44,2011-2012,Steven Gerrard,5,Midfielder,31.6
45,2011-2012,Andy Carroll,4,Striker,23.0
46,2011-2012,Maxi Rodriguez,4,Midfielder,31.0
47,2011-2012,Dirk Kuyt,2,Striker,31.5
48,2011-2012,Martin Skrtel,2,Defender,27.1
49,2011-2012,Jordan Henderson,2,Midfielder,21.6
50,2011-2012,Charlie Adam,2,Midfielder,26.1
51,2011-2012,Jonjo Shelvey,1,Midfielder,19.9
52,2011-2012,Daniel Agger,1,Defender,27.1
53,2011-2012,Glen Johnson,1,Defender,27.4
54,2011-2012,Sebastian Coates,1,Defender,21.2
55,2010-2011,Dirk Kuyt,13,Striker,30.5
56,2010-2011,Maxi Rodriguez,10,Midfielder,30.0
57,2010-2011,Fernando Torres,9,Striker,26.8
58,2010-2011,Raul Meireles,5,Midfielder,27.8
59,2010-2011,Steven Gerrard,4,Midfielder,30.6
60,2010-2011,Luis Suarez,4,Striker,24.0
61,2010-2011,David N'Gog,2,Striker,21.8
62,2010-2011,Joe Cole,2,Midfielder,29.2
63,2010-2011,Andy Carroll,2,Striker,22.0
64,2010-2011,Glen Johnson,2,Defender,26.4
65,2010-2011,Martin Skrtel,2,Defender,26.1
66,2010-2011,Sotirios Kyrgiakos,2,Defender,31.5
67,2010-2011,Ryan Babel,1,Midfielder,24.1
68,2009-2010,Fernando Torres,18,Striker,25.8
69,2009-2010,Steven Gerrard,9,Midfielder,29.6
70,2009-2010,Dirk Kuyt,9,Striker,29.5
71,2009-2010,Yossi Benayoun,6,Midfielder,29.7
72,2009-2010,David N'Gog,5,Striker,20.8
73,2009-2010,Ryan Babel,4,Midfielder,23.1
74,2009-2010,Glen Johnson,3,Defender,25.4
75,2009-2010,Alberto Aquilani,1,Midfielder,25.5
